,pcd,lsoa21,lat,long,oslaua
20183,E3  3NX,E01004239,51.524738,-0.016662,E09000030
20184,E3  3NY,E01032784,51.530231,-0.02888,E09000030
20185,E3  3NZ,E01032784,51.530231,-0.02888,E09000030
20186,E3  3PA,E01035667,51.521683,-0.015252,E09000030
20187,E3  3PB,E01035671,51.520537,-0.017147,E09000030
20188,E3  3PD,E01004239,51.523478,-0.017711,E09000030
20189,E3  3PE,E01004239,51.52403,-0.01737,E09000030
20190,E3  3PF,E01004239,51.523313,-0.01694,E09000030
20191,E3  3PG,E01004239,51.524052,-0.017066,E09000030
20192,E3  3PH,E01004239,51.523422,-0.016517,E09000030
20193,E3  3PJ,E01035671,51.522182,-0.018128,E09000030
20194,E3  3PL,E01004239,51.523977,-0.015815,E09000030
20195,E3  3PN,E01035672,51.520328,-0.020212,E09000030
20196,E3  3PP,E01004239,51.523522,-0.015504,E09000030
20197,E3  3PQ,E01004239,51.523578,-0.016683,E09000030
20198,E3  3PR,E01004241,51.520983,-0.022807,E09000030
20199,E3  3PS,E01004241,51.52109,-0.021664,E09000030
20200,E3  3PT,E01004241,51.520749,-0.022212,E09000030
20201,E3  3PU,E01004239,51.523744,-0.015335,E09000030
20202,E3  3PW,E01004241,51.520512,-0.020435,E09000030
20203,E3  3PX,E01004241,51.520803,-0.020119,E09000030
20204,E3  3PY,E01004241,51.520675,-0.021019,E09000030
20205,E3  3PZ,E01004241,51.520675,-0.021019,E09000030
20206,E3  3QA,E01004237,51.525994,-0.019159,E09000030
20207,E3  3QB,E01035665,51.524387,-0.011862,E09000030
20208,E3  3QD,E01035665,51.524223,-0.012302,E09000030
20209,E3  3QE,E01035665,51.524387,-0.011862,E09000030
20210,E3  3QF,E01035672,51.521168,-0.019325,E09000030
20211,E3  3QG,E01035672,51.520613,-0.017908,E09000030
20212,E3  3QH,E01035672,51.520996,-0.018194,E09000030
20213,E3  3QJ,E01035672,51.520996,-0.018194,E09000030
20214,E3  3QL,E01035671,51.51963,-0.016163,E09000030
20215,E3  3QN,E01035672,51.51905,-0.020657,E09000030
20216,E3  3QP,E01035672,51.518615,-0.017822,E09000030
20217,E3  3QQ,E01035671,51.520314,-0.017258,E09000030
20218,E3  3QR,E01035672,51.518395,-0.018119,E09000030
20219,E3  3QS,E01035672,51.519951,-0.018643,E09000030
20220,E3  3QT,E01004239,51.524729,-0.016677,E09000030
20221,E3  3QU,E01035672,51.520794,-0.018505,E09000030
20222,E3  3QW,E01035667,51.523393,-0.009469,E09000030
20223,E3  3QX,E01035672,51.519834,-0.020262,E09000030
20224,E3  3QY,E01004239,51.522372,-0.017702,E09000030
20225,E3  3QZ,E01032784,51.530231,-0.02888,E09000030
20226,E3  3RA,E01035672,51.520244,-0.018933,E09000030
20227,E3  3RB,E01035672,51.51991,-0.019394,E09000030
20228,E3  3RD,E01035672,51.519747,-0.020381,E09000030
20229,E3  3RE,E01035672,51.517938,-0.019235,E09000030
20230,E3  3RF,E01035672,51.518583,-0.01912,E09000030
20231,E3  3RG,E01035672,51.519425,-0.019949,E09000030
20232,E3  3RH,E01035672,51.519399,-0.019517,E09000030
20233,E3  3RJ,E01035672,51.518956,-0.020416,E09000030
20234,E3  3RL,E01035672,51.519286,-0.020776,E09000030
20235,E3  3RN,E01035672,51.518511,-0.020176,E09000030
20236,E3  3RP,E01035672,51.518467,-0.020783,E09000030
20237,E3  3RQ,E01035672,51.518435,-0.019934,E09000030
20238,E3  3RR,E01035672,51.518657,-0.020299,E09000030
20239,E3  3RS,E01035672,51.518833,-0.019527,E09000030
20240,E3  3RT,E01035672,51.517826,-0.020076,E09000030
20241,E3  3RU,E01035673,51.517514,-0.020752,E09000030
20242,E3  3RW,E01035672,51.519079,-0.021333,E09000030
20243,E3  3RX,E01035673,51.517636,-0.021641,E09000030
20244,E3  3RY,E01035672,51.518657,-0.021885,E09000030
20245,E3  3RZ,E01035673,51.517353,-0.020284,E09000030
20246,E3  3SA,E01004272,51.517544,-0.022553,E09000030
20247,E3  3SB,E01004272,51.517544,-0.022553,E09000030
20248,E3  3SD,E01004239,51.524729,-0.016677,E09000030
20249,E3  3SE,E01032784,51.530231,-0.02888,E09000030
20250,E3  3SF,E01032784,51.530231,-0.02888,E09000030
20251,E3  3SG,E01004239,51.524738,-0.016662,E09000030
20252,E3  3SH,E01032784,51.530231,-0.02888,E09000030
20253,E3  3SJ,E01004239,51.524738,-0.016662,E09000030
20254,E3  3SL,E01004239,51.524738,-0.016662,E09000030
20255,E3  3SN,E01004239,51.524738,-0.016662,E09000030
20256,E3  3SP,E01035673,51.518443,-0.022514,E09000030
20257,E3  3SQ,E01004239,51.524738,-0.016662,E09000030
20258,E3  3SR,E01032784,51.530231,-0.02888,E09000030
20259,E3  3SS,E01004237,51.5271,-0.020235,E09000030
20260,E3  3ST,E01035672,51.51802,-0.020384,E09000030
20261,E3  3SU,E01035666,51.524237,-0.014694,E09000030
20262,E3  3SW,E01035673,51.518443,-0.022514,E09000030
20263,E3  3SX,E01032784,51.530231,-0.02888,E09000030
20264,E3  3SY,E01032784,51.530231,-0.02888,E09000030
20265,E3  3SZ,E01032784,51.530231,-0.02888,E09000030
20266,E3  3TA,E01035667,51.524589,-0.00946,E09000030
20267,E3  3TB,E01035665,51.524845,-0.008671,E09000030
20268,E3  3TD,E01035665,51.524468,-0.008716,E09000030
20269,E3  3TE,E01035667,51.524181,-0.008772,E09000030
20270,E3  3TF,E01035666,51.524237,-0.014694,E09000030
