pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21,ruc21
"E9  5DR","E9   5DR","E9 5DR","200207","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536264","0184718","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009209","00AMGU","E65000001","E01001848","E02000362","5","7B2","E00009209","E01001848","E02000362","E33033800","E38000255","E63011969","A1","3B1",51.544915,-0.036307,"E37000051","","E23000001",4298,"E56000028","E54000029","E00009209","E01001848","E02000362","UN1"
"E9  5DS","E9   5DS","E9 5DS","200901","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536865","0184632","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176314","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3B3",51.543997,-0.027679,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176314","E01001849","E02000362","UN1"
"E9  5DT","E9   5DT","E9 5DT","200901","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536865","0184632","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176314","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3B3",51.543997,-0.027679,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176314","E01001849","E02000362","UN1"
"E9  5DU","E9   5DU","E9 5DU","198001","","E99999999","E99999999","E09000030","E05009319","E43000220","0","536459","0184569","1","E18000007","E40000003","E92000001","E12000007","5","E14001525","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFZ","E00021266","00BGFZ","E65000001","E01004223","E02000864","5","7B1","E00021266","E01004223","E02000864","E33036177","E38000255","","A1","3D2",51.543529,-0.033555,"E37000051","","E23000001",5705,"E56000028","E54000029","E00021266","E01004223","E02000864","UN1"
"E9  5DW","E9   5DW","E9 5DW","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536898","0184547","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176314","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3B3",51.543225,-0.027237,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176314","E01001849","E02000362","UN1"
"E9  5DX","E9   5DX","E9 5DX","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536390","0184626","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009217","00AMGU","E65000001","E01001848","E02000362","5","7B1","E00009217","E01001848","E02000362","E33033800","E38000255","E63011969","A1","3D2",51.544058,-0.034527,"E37000051","","E23000001",4298,"E56000028","E54000029","E00009217","E01001848","E02000362","UN1"
"E9  5DY","E9   5DY","E9 5DY","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536208","0184445","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009222","00AMGU","E65000001","E01001845","E02000366","5","7B1","E00009222","E01001845","E02000366","E33033825","E38000255","E63011969","A1","3B1",51.542475,-0.037220,"E37000051","","E23000001",2027,"E56000028","E54000029","E00009222","E01001845","E02000366","UN1"
"E9  5DZ","E9   5DZ","E9 5DZ","199301","199507","E99999999","E99999999","E09000012","E05009374","E43000202","1","536300","0184700","8","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009210","00AMGU","E65000001","E01001848","E02000362","5","7B1","E00009210","E01001848","E02000362","E33033800","E38000255","E63011969","A1","3D3",51.544744,-0.035796,"E37000051","","E23000001",4298,"E56000028","E54000029","E00009210","E01001848","E02000362","UN1"
"E9  5EA","E9   5EA","E9 5EA","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536115","0184509","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009221","00AMGU","E65000001","E01001845","E02000366","5","7B1","E00009221","E01001845","E02000366","E33033825","E38000255","E63011969","A1","3A1",51.543072,-0.038536,"E37000051","","E23000001",2027,"E56000028","E54000029","E00009221","E01001845","E02000366","UN1"
"E9  5EB","E9   5EB","E9 5EB","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536050","0184466","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009220","00AMGU","E65000001","E01001845","E02000366","5","7B1","E00176285","E01001845","E02000366","E33033825","E38000255","E63011969","A1","3A1",51.542702,-0.039489,"E37000051","","E23000001",2027,"E56000028","E54000029","E00183768","E01001845","E02000366","UN1"
